comment,qos,transid,city,ssid,encryption,wep,bcninterval,dhcp,type,channel,trilong,paynet,userfound,housenumber,lasttime,firsttime,name,lastupdt,country,region,netid,freenet,trilat,road
,5,20160212-00000,,Welcome NI,wpa,W,0,?,infra,1,9.14899635,?,False,,2016-03-02T07:00:00.000Z,2016-02-12T21:00:00.000Z,,2016-03-02T07:00:00.000Z,IT,LOM,00:12:5F:10:B7:02,?,45.40885925,Autostrada dei Giovi - Serravalle
,0,20100426-00000,Milano,default,none,N,0,?,infra,3,9.21443939,?,False,,2010-04-26T14:00:00.000Z,2010-04-26T21:00:00.000Z,,2010-09-13T15:00:00.000Z,IT,LOM,00:11:D8:01:CD:49,?,45.48382187,
,0,20051006-00000,Milano,FastKris,wep,Y,0,?,,9,9.21076393,?,False,29,2005-10-06T01:00:00.000Z,2001-01-01T00:00:00.000Z,,2005-10-05T23:00:00.000Z,IT,LOM,00:11:50:3B:31:CF,?,45.48870087,Viale Brianza
,0,20090227-00000,,CasaMilano,none,N,0,?,,11,9.10291195,?,False,,2009-02-27T05:00:00.000Z,2001-01-01T00:00:00.000Z,,2009-02-27T03:00:00.000Z,IT,LOM,00:11:50:3B:34:83,?,45.42891312,Viale della Resistenza
,3,20130102-00000,Milano,belkin54g,wep,Y,0,?,infra,11,9.14686108,?,False,,2017-04-05T14:00:00.000Z,2013-01-02T16:00:00.000Z,,2017-04-05T14:00:00.000Z,IT,LOM,00:11:50:50:27:D0,?,45.47829819,Via Guglielmo Silva
,0,20170310-00000,,WiPG-1000,unknown,?,0,?,infra,13,9.26075649,?,False,,2017-03-10T10:00:00.000Z,2017-03-10T18:00:00.000Z,,2017-03-10T10:00:00.000Z,IT,LOM,00:12:5F:11:7A:D2,?,45.40179443,Autostrada del Sole
,0,20170125-00000,Milano,WiPG-MIL-DemoLab,unknown,?,0,?,infra,12,9.2114563,?,False,3,2017-01-25T19:00:00.000Z,2017-01-24T16:00:00.000Z,,2017-01-25T19:00:00.000Z,IT,LOM,00:12:5F:12:0C:C8,?,45.51199722,Viale dell'Innovazione
,0,20170222-00000,Milano,IELINK_06:84:22:00:46:47,unknown,?,0,?,infra,1,9.21853447,?,False,40,2017-02-22T06:00:00.000Z,2017-02-22T09:00:00.000Z,,2017-02-22T06:00:00.000Z,IT,LOM,00:12:7B:23:82:2F,?,45.49202728,Viale Monza
,0,20140917-00000,Milano,mnet_001,wep,Y,0,?,infra,10,9.20420456,?,False,,2014-09-17T12:00:00.000Z,2014-09-17T14:00:00.000Z,,2014-09-17T10:00:00.000Z,IT,LOM,00:11:95:A0:5B:A8,?,45.47999954,Piazza Cincinnato
,0,20080906-00000,,NETWORK_CALDERA,wep,Y,0,?,,1,9.09689522,?,False,11,2008-09-06T16:00:00.000Z,2001-01-01T00:00:00.000Z,,2008-09-06T14:00:00.000Z,IT,LOM,00:11:95:A0:70:00,?,45.44501495,Via Garibaldi
